--- Terminal on /dev/ttyACM0 | 115200 8-N-1
--- Available filters and text transformations: debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
[110s] SILENT WAIT V=0.00V I=+0.0A T=0.0C SOC=0% SOH=100% | CVL=0.0V CCL=0.0A DCL=0.0A | chg=0 dis=0 fc1=0 fc2=0 | prot=0000 warn=0000 | packs=1 | inv0x305=no
[112s] SILENT WAIT V=0.00V I=+0.0A T=0.0C SOC=0% SOH=100% | CVL=0.0V CCL=0.0A DCL=0.0A | chg=0 dis=0 fc1=0 fc2=0 | prot=0000 warn=0000 | packs=1 | inv0x305=no
[114s] SILENT WAIT V=0.00V I=+0.0A T=0.0C SOC=0% SOH=100% | CVL=0.0V CCL=0.0A DCL=0.0A | chg=0 dis=0 fc1=0 fc2=0 | prot=0000 warn=0000 | packs=1 | inv0x305=no
[116s] SILENT WAIT V=0.00V I=+0.0A T=0.0C SOC=0% SOH=100% | CVL=0.0V CCL=0.0A DCL=0.0A | chg=0 dis=0 fc1=0 fc2=0 | prot=0000 warn=0000 | packs=1 | inv0x305=no
[118s] SILENT WAIT V=0.00V I=+0.0A T=0.0C SOC=0% SOH=100% | CVL=0.0V CCL=0.0A DCL=0.0A | chg=0 dis=0 fc1=0 fc2=0 | prot=0000 warn=0000 | packs=1 | inv0x305=no
[120s] SILENT WAIT V=0.00V I=+0.0A T=0.0C SOC=0% SOH=100% | CVL=0.0V CCL=0.0A DCL=0.0A | chg=0 dis=0 fc1=0 fc2=0 | prot=0000 warn=0000 | packs=1 | inv0x305=no
[122s] SILENT WAIT V=0.00V I=+0.0A T=0.0C SOC=0% SOH=100% | CVL=0.0V CCL=0.0A DCL=0.0A | chg=0 dis=0 fc1=0 fc2=0 | prot=0000 warn=0000 | packs=1 | inv0x305=no
[124s] SILENT WAIT V=0.00V I=+0.0A T=0.0C SOC=0% SOH=100% | CVL=0.0V CCL=0.0A DCL=0.0A | chg=0 dis=0 fc1=0 fc2=0 | prot=0000 warn=0000 | packs=1 | inv0x305=no
[126s] SILENT WAIT V=0.00V I=+0.0A T=0.0C SOC=0% SOH=100% | CVL=0.0V CCL=0.0A DCL=0.0A | chg=0 dis=0 fc1=0 fc2=0 | prot=0000 warn=0000 | packs=1 | inv0x305=yes
[128s] SILENT WAIT V=0.00V I=+0.0A T=0.0C SOC=0% SOH=100% | CVL=0.0V CCL=0.0A DCL=0.0A | chg=0 dis=0 fc1=0 fc2=0 | prot=0000 warn=0000 | packs=1 | inv0x305=yes
[130s] SILENT WAIT V=0.00V I=+0.0A T=0.0C SOC=0% SOH=100% | CVL=0.0V CCL=0.0A DCL=0.0A | chg=0 dis=0 fc1=0 fc2=0 | prot=0000 warn=0000 | packs=1 | inv0x305=yes
